,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 1: Monetary Base,,,,,,,جدول 1: القاعدة النقدية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,النقد المتداول,النقد في,ودائع لدى البنك المركزي  Deposits with SAMA,,,القاعدة النقدية,
,,خارج المصارف,الصندوق,ودائع البنوك ,ودائع المؤسسات ,المجموع,Monetary ,
,,Currency,Cash in ,المحلية,المالية العامة,, Base,
End of Period,,Outside Banks,Vault,Deposits of Banks,Public Fin. Ins.,Total,(Reserve Money),
,,1,2,3,4,5 = 3 + 4,6 = 1 + 2 + 5,
2013-08-31T00:00:00,,141525.01081425,23283.524,79797.03023701,9439.921647770001,89236.95188477999,254045.48669903,
2013-09-30T00:00:00,,139043.20607018,24923.766,79647.88161683,8305.495572799999,87953.37718963,251920.34925981,
2013-10-31T00:00:00,,144223.84889860998,24248.337,80008.06716175,7650.13534842,87658.20251017,256130.38840877998,
2013-11-30T00:00:00,,144114.46470689002,20934.832,80206.66895012,7268.88346215,87475.55241227,252524.84911916003,
2013-12-31T00:00:00,,143140.03717765,23248.037,81901.44526349001,7788.502204439999,89689.94746793,256078.02164558,
2014-01-31T00:00:00,,145451.81075886,22900.874,83862.89918693,6239.863638100001,90102.76282502999,258455.44758389,
2014-02-28T00:00:00,,146169.96768985002,23391.576,86303.72037669,6454.95491359,92758.67529028,262320.21898013004,
2014-03-31T00:00:00,,146656.71354123,24883.577,86360.10275332001,12295.597182110001,98655.69993543,270195.99047666,
2014-04-30T00:00:00,,149014.79712911003,23860.12,88215.72140112,6265.2181230900005,94480.93952421,267355.85665332,
2014-05-31T00:00:00,,152090.54968102998,22593.763,89572.73608777,8337.12473949,97909.86082726,272594.17350828997,
2014-06-30T00:00:00,,151494.47654171,27057.609,90368.71933227,12781.66972028,103150.38905255,281702.47459426,
2014-07-31T00:00:00,,166626.88856399,30757.79,90271.24263561,13892.310048950001,104163.55268456001,301548.23124855,
2014-08-31T00:00:00,,155527.47552243999,25906.971,90171.56175453999,7751.5635806499995,97923.12533518998,279357.5718576299,
2014-09-30T00:00:00,,158033.85283291,32600.768,91097.27902265,10254.49036318,101351.76938582999,291986.39021874,
2014-10-31T00:00:00,,154859.63543477998,26657.877,91438.0666507,20759.23510852,112197.30175921999,293714.814194,
2014-11-30T00:00:00,,152822.89132142,27455.274,91654.90169833,11525.64901458,103180.55071291,283458.71603433,
2014-12-31T00:00:00,,153750.14311176,27141.949,92558.21105433001,9473.64349279,102031.85454712,282923.94665888,
2015-01-31T00:00:00,,156892.74767228003,25712.626,94667.96505541001,5856.23925287,100524.20430828001,283129.57798056,
2015-02-28T00:00:00,,169131.20754097,26678.95,93319.27648165,9884.86633673,103204.14281838,299014.30035935005,
2015-03-31T00:00:00,,166589.37775913,27398.172,97377.77092102,9349.238401199998,106727.00932222,300714.55908135,
2015-04-30T00:00:00,,169439.83703087003,27313.163,102712.82839734,5363.02009482,108075.84849216,304828.84852303006,
2015-05-31T00:00:00,,172397.52426462,28083.595,101207.80941419999,6203.50981769,107411.31923189,307892.43849651003,
2015-06-30T00:00:00,,174016.5636936,31891.409,100818.78861814999,6621.693820109999,107440.48243825999,313348.45513186,
2015-07-31T00:00:00,,179052.89902313,34494.656,100433.01314533,5855.48189731,106288.49504264,319836.05006577005,
2015-08-31T00:00:00,,172180.82561613,30590.877,99182.57648044001,4358.03008797,103540.60656841,306312.30918454,
2015-09-30T00:00:00,,175145.86631435,37137.404,99755.557908,8797.88909458,108553.44700258,320836.71731693,
2015-10-31T00:00:00,,170848.03439156,28758.039,99886.65425621001,3161.49520088,103048.14945709001,302654.22284865,
2015-11-30T00:00:00,,168114.62575814998,29310.347,96147.30652907,4846.19532482,100993.50185389,298418.47461204,
2015-12-31T00:00:00,,168491.79047888,29420.302,98116.71562322999,4668.35829865,102785.07392187999,300697.16640075995,
2016-01-31T00:00:00,,167364.46832426,28752.544,95624.07235647,1921.43674229,97545.50909876,293662.52142302,
2016-02-29T00:00:00,,167824.20504096002,28826.39790791,95786.42492763001,3612.26881456,99398.69374219001,296049.29669106,
2016-03-31T00:00:00,,169233.5330036,30513.258229249997,95979.6919818,2444.57690326,98424.26888506001,298171.06011791003,
2016-04-30T00:00:00,,170916.16950101004,28278.79376622,96294.47255178,2740.234614,99034.70716578,298229.67043301003,
2016-05-31T00:00:00,,172229.82994919,31528.115006239997,96005.95987288,2999.9518417,99005.91171458,302763.85667001,
2016-06-30T00:00:00,,181801.6594786,42736.51633767,95732.36443761,1247.0778448499998,96979.44228246,321517.61809873,
2016-07-31T00:00:00,,174873.73994797003,32890.693095509996,95614.015944,3371.66335412,98985.67929812,306750.1123416,
2016-08-31T00:00:00,,173713.19333953998,32951.59315262,95038.94140272,3562.27474641,98601.21614912999,305266.00264128996,
2016-09-30T00:00:00,,173468.07739563,34193.09019855,94445.05250044,2295.2062299,96740.25873033999,304401.42632452,
2016-10-31T00:00:00,,169267.67561049998,32334.49038165,94410.0113207,2762.4350171,97172.4463378,298774.61232995,
