,,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,
Table 28b: SADAD System Payments Value* ,,,,جدول 28b:  مبـالـغ  مـدفـوعــات نظام ســــداد*,
(Value in Thousand ﷼),,,, (القيمة بالألف ﷼),
,,مبالغ الفواتير المسددة      Value of Bills Paid,,,
الفترة,,,,,
Period,, من خلال سداد, من خلال قنوات أخرى,الإجمالي,
,, Through SADAD,Through Other Channels,Total ,
2024-12-31T00:00:00,,77150345.18,8208584.96,85358930.14,
2025-01-31T00:00:00,,72917394.92,7762602.849,80679997.76900001,
2025-02-28T00:00:00,,64089067.57583,8331850.03494,72420917.61077,
2025-03-31T00:00:00,,70131260.47731,9413760.51924,79545020.99655,
2025-04-30T00:00:00,,95782361.54,7825392.27,103607753.81,
2025-05-31T00:00:00,,73183232.1079201,9744640.98898,82927873.09690009,
2025-06-30T00:00:00,,66994777.59609,6963095.72305,73957873.31914,
2025-07-31T00:00:00,,84847016.7768,8905079.53782,93752096.31462,
2025-08-31T00:00:00,,70078516.3409099,8627536.40189,78706052.7427999,
2025-09-30T00:00:00,,72921531.87,8972711.7,81894243.57000001,
2025-10-31T00:00:00,,77915766.29,9963650.46,87879416.75,
2025-11-30T00:00:00,,71470767.25865,10686542.39048,82157309.64913,
2025-12-31T00:00:00,,78221963.58146,14061999.01824,92283962.5997,
2026-01-31T00:00:00,,70914502.915,10436135.86031,81350638.77531001,
2026-02-28T00:00:00,,69536723.8276101,9467721.71387,79004445.54148011,
,,,,,
,,,,,
* SADAD system started operation on 4th of October  2004.,,,,* بدأ العمل  بنظام سداد في 4 أكتوبر  2004م.,
