,,,,,
القائمة الرئيسية   Main List,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,
,,,,,
Table 4b: Money Supply Components in M3,,,,,جدول4b :   مــــكــــونـــــات عـــــرض الـنـقـــــــــود فــــي ن3
(Percentage Shares),,,,,(نـسـب مـئـوية)
نهاية الفترة,,النقد المتداول,الودائع,الودائع الزمنية ,الودائع الأخرى
,,خارج المصارف, تحت الطلب,والإدخارية,شبه النقدية
End of Period,,Currency,Demand,Time & Savings,Other Quasi-
,,Outside Banks,Deposits,Deposits,Money Deposits
,,,,,
Q1,1993,19.953890730535175,36.601322815248025,19.600889799098333,23.843896655118463
Q2,1993,19.850031581416946,37.040734503760824,19.13506878555409,23.974165129268137
Q3,1993,18.23082656301198,37.12662097305258,19.241983159499572,25.400569304435873
Q4,1993,18.659610992727142,34.53244348923767,20.96653587364204,25.84140964439314
Q1,1994,19.333872721755093,34.69951012554328,21.053212495590447,24.913404657111172
Q2,1994,19.23593369969665,35.36984711396682,20.65973751816148,24.73448166817505
Q3,1994,18.147133180614993,35.81966379299996,20.822417709957964,25.210785316427085
Q4,1994,19.034374239007327,34.15274983985784,21.76561765168693,25.0472582694479
Q1,1995,19.196742091108636,34.077039751465314,22.577243527377945,24.1489746300481
Q2,1995,19.10097159884995,34.30205205837125,22.881035659907983,23.71594068287082
Q3,1995,17.786017484094952,33.95429550240341,24.331657259588198,23.92802975391344
Q4,1995,17.821647539379647,33.661868682784736,25.32274435120711,23.19373942662851
Q1,1996,18.25136748300504,33.74935100327842,25.04242943740249,22.956852076314046
Q2,1996,17.923701164093977,35.06851836337273,24.422429715249034,22.58535075728426
Q3,1996,16.55845260238736,34.82035604931742,26.449753477875028,22.171437870420192
Q4,1996,16.66042447086309,34.7976657555577,27.516276936865285,21.02563283671391
Q1,1997,16.963003863208094,36.054960935689564,26.467848703092496,20.51418649800983
Q2,1997,17.563691141852146,36.01550519657561,25.72005413642957,20.700749525142687
Q3,1997,16.737135440332015,35.377882442432195,27.214254843813386,20.670727273422397
Q4,1997,16.812842869550018,34.98842843961941,28.312557403250295,19.88617128758027
Q1,1998,17.64709647303409,35.38360022074467,28.439738585359304,18.529564720861927
Q2,1998,16.77747244690784,36.05466106136603,28.605696505842655,18.562169985883475
Q3,1998,15.752036265425598,34.60380002702659,28.876139055717648,20.768024651830167
Q4,1998,15.893395512490772,33.62793963464845,29.456039942845972,21.02262491001481
Q1,1999,16.441896772025526,34.74537409283448,29.105433596668362,19.707295538471627
Q2,1999,15.620018531980968,35.715524595833436,28.78152320039944,19.882933671786166
Q3,1999,14.740447667605519,35.863571247904034,29.174139783273034,20.221841301217413
Q4,1999,18.026198039278395,33.26444748751459,27.939943422781838,20.769411050425195
Q1,2000,15.6919362337591,36.92727997807291,27.801187366390025,19.57959642177797
Q2,2000,15.552883615666424,36.83394390387109,28.252519057308568,19.36065342315392
Q3,2000,14.954460481210265,36.51320438258817,28.430594458124332,20.10174067807722
Q4,2000,15.994096215933054,35.88864196072477,28.47493738418675,19.64232443915542
Q1,2001,15.391512562332672,37.628660576415946,28.459093280726794,18.520733580524585
Q2,2001,14.911346603660688,38.888344435249614,26.434946101586434,19.765362859503263
Q3,2001,14.214401889787284,38.65413755504524,26.860330006157774,20.271130549009705
Q4,2001,14.472324107175385,38.29383245604747,26.967414778963967,20.266428657813176
Q1,2002,14.146035050728994,39.799876100412064,26.245070318258236,19.80901853060071
Q2,2002,14.054559327791877,40.94874687437873,25.14536414251657,19.851329655312824
Q3,2002,13.021408414683597,40.50587012158308,25.34420430156768,21.128517162165643
Q4,2002,13.410574231811513,38.44350847831086,27.68473202367935,20.461185266198274
Q1,2003,13.925174869885954,39.25699391734911,26.780948667484484,20.036882545280456
