,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 4: Net Earned Premium by Line of Business*,,,,,,,,,,,,,جدول 4: صافي الأقساط المكتسبة حسب نوع النشاط*
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
Q1,2011,632.369175368479,1545,30551.8074002712,42314.9716712332,30922.9099851123,49402.9381054678,804253.911036885,4753.21302053034,964377.1203948683,142129.1001,1615386.64242002,2721892.862914888
Q2,2011,527.787161753796,1941,22408.3578269265,53548.3304516619,31605.8632155535,54956.4890843851,826470.5353927,5330.02934307531,996788.3924760561,175486.4301,1946967.5043422,3119242.3269182565
Q3,2011,76.0793637411675,978,24731.9173500217,46259.0477575856,26955.8558831336,55051.0445033739,881448.539053303,3925.13233158121,1039425.6162427402,134956.35615,1918500.36666403,3092882.3390567703
Q4,2011,830.579699071313,2147,31772.8925496067,37818.8973032867,33320.9060911308,54007.000669618,898185.72305448,7231.70024097973,1065314.6996081732,135168.31,2078987.81749495,3279470.827103123
Q1,2012,110.095448008961,1666,31618.4386832584,60793.0125913025,32704.3800368967,71041.2904361057,967474.21491603,6396.7431519782,1171804.1752635804,126944.11698,2075883.5068871,3374631.79913068
Q2,2012,-325.188587592899,1459,41138.0933008373,61101.0396201616,40912.6604808546,67897.6686732551,1001522.67784461,8352.96836024051,1222058.9196923662,143865.65578,2185016.38955784,3550940.965030206
Q3,2012,1747.3323353243,1929,46145.2127399886,56036.1711141841,53350.7676722088,73962.2356910143,1051649.65889733,9146.20282806673,1293966.581278117,130527.83897,2279375.36962635,3703869.7898744666
Q4,2012,-625.62166894658,2034,35344.5763581399,49269.6964211552,49958.5466303647,71139.0138245141,1114628.26648193,12293.6359056613,1334042.1139528186,123319.83408,2623327.83526739,4080689.783300209
Q1,2013,410.265280065866,1359.04,36447.1551325023,62129.2912905175,47829.1026115364,71786.3630664494,1237108.33742643,6261.60228149756,1463331.1570889992,117549.36323,2418977.84898842,3999858.3693074193
Q2,2013,-1776.20123242802,166205,-116305.425199608,65894.3864468116,59476.4749574461,76340.5690695937,1356089.63549942,10796.4073297808,1616720.8468710163,122368.50755,2720500.90061731,4459590.255038327
