,,From          مـن,,,,,,,,,,A. Sales Attributable to Specific Purposes        أ - مبيعات منسوبة لأغراض محددة,,,,,,,,,,,,,B: Sales to Third Parties    ب: مبيعات لجهات أخرى - طرف ثالث,,,,,,,,المجموع الكلي
الفترة,,,,,,,مجموع المشتريات,,,الفترة,,تمويل الواردات,مقاولون أجانب,,تحويلات شخصية,,السفر الى الخارج,,إستثمارات  ,(الإجمالي(أ,,,الفترة,, للصيارفة,لجهات حكومية,للبنك,للوزارات أو البلديات,لعملاء آخرين,مصارف داخل المملكة,مصارف خارج المملكة,(الإجمالي(ب,( أ + ب  )
,,البنك المركزي,المصارف المحلية,المصارف الخارجية,عملاء,مصادر أخرى,,,,,,,Foreign Contractors,,Personal Transfers,,Foreign Travel,,بالخارج,,,,,,,,المركزي,,في المملكة,,,,
Period,,,,,,,Total Purchases,,,Period,,Import,إستيراد السلع,أغراض أخرى,سعودي,غير سعودي,سعودي,غير سعودي,Investments,Sub-Total (A),,,Period,,Money,Govt.,SAMA,Ministries or,Other Customers,Domestic Banks,Overseas Banks,Sub-Total (B),Total
,,SAMA  ,Local Banks ,Banks Abroad,Customers,Other Sources,,,,,,Financing,Import of Goods,Other Purposes,Saudis,Non-Saudis,Saudis,Non-Saudis,Abroad,,,,,,Changers,Agencies,,Municipalities,in the Kingdom,,, , ( A  +  B )
1994-07-31T00:00:00,,11466.800000000001,30514.5,41813.4,---,8584.400000000001,92379.1,,,1994-07-31T00:00:00,,2614,1310.4,---,5249.3,---,2904.9,---,1.7,12216.300000000001,,,1994-07-31T00:00:00,,1107.8,35.6,---,632.4000000000001,37869,---,35537.200000000004,75182,87398.3
1994-08-31T00:00:00,,10914,21728.600000000002,36651.700000000004,---,8512.385,77806.685,,,1994-08-31T00:00:00,,2425.1,1212.5,---,4371,---,2502.2,---,2.8,10525.199999999999,,,1994-08-31T00:00:00,,1176.3000000000002,37.400000000000006,---,631.6999999999999,30190.3,---,33308.2,65343.899999999994,75869.09999999999
1994-09-30T00:00:00,,10891.9,22830.1,44731.8,---,10788.2,89242,,,1994-09-30T00:00:00,,2018.1,1219,---,4061.5,---,2268.8,---,12.200000000000001,9695.100000000002,,,1994-09-30T00:00:00,,891.2,164.50000000000003,---,562.7,44304.4,---,42512.4,88435.20000000001,98130.30000000002
1994-10-31T00:00:00,,15394.900000000001,28920.300000000003,40041.200000000004,---,9582.4,93938.8,,,1994-10-31T00:00:00,,2292.3,1299.8999999999999,---,3869.3999999999996,---,1905.3000000000002,---,12.299999999999999,9823.499999999998,,,1994-10-31T00:00:00,,830.1,15.3,---,956.2,40579.5,---,40183.5,82564.6,92388.1
1994-11-30T00:00:00,,9097.5,32838.5,46917.6,---,9082.8,97936.40000000001,,,1994-11-30T00:00:00,,2077.4,2472.2,---,4064.3999999999996,---,2633.7999999999997,---,43,11463.099999999999,,,1994-11-30T00:00:00,,427.9,295.3,---,1125,44780.600000000006,---,43436.5,90065.3,101528.4
1994-12-31T00:00:00,,9615.800000000001,32972.4,39020.3,---,11776.699999999999,93385.2,,,1994-12-31T00:00:00,,2159.4,1199.0000000000002,---,4442.000000000001,---,2087.2000000000003,---,96.30000000000001,10166.2,,,1994-12-31T00:00:00,,1005.6999999999999,672.1,---,75,46332.4,---,36996.7,85081.9,95248.09999999999
1995-01-31T00:00:00,,7296.8,40235.9,46904.1,---,10803.6,105240.40000000001,,,1995-01-31T00:00:00,,2476.7,858.1999999999999,237.6,1264.7,3204.7000000000003,449.7,1607.8000000000002,11.3,10279.6,,,1995-01-31T00:00:00,,997.8,0.4,---,35.2,54263.200000000004,---,40397.3,95693.90000000001,105973.50000000001
1995-02-28T00:00:00,,3652.5,39080.200000000004,44717,---,9758.199999999999,97207.90000000001,,,1995-02-28T00:00:00,,2085.2000000000003,982.1999999999999,375.50000000000006,1237.8000000000002,3128.8,370.901,1482.7610000000002,8.5,9873.262,,,1995-02-28T00:00:00,,490.135,60.915,---,77.5,54503.856,---,34540.826,89673.232,99546.494
1995-03-31T00:00:00,,12904.1,42647.200000000004,21231.300000000003,---,9838.400000000001,86621,,,1995-03-31T00:00:00,,2250.9,987.9000000000001,10.3,1265.7,3104.6000000000004,429.6,1802.7,5.8,9956.2,,,1995-03-31T00:00:00,,476.1,22.8,---,35.4,49884.200000000004,---,31049.2,81467.70000000001,91423.90000000001
1995-04-30T00:00:00,,7592,34364.700000000004,42302.8,---,10939.2,95198.7,,,1995-04-30T00:00:00,,1926.2000000000003,967.7560000000001,166.447,1928.2540000000001,3465.8669999999997,511.592,1576.46,6.769,10776.434000000001,,,1995-04-30T00:00:00,,624,58.828,---,38.730000000000004,49885.969000000005,---,35706.391,86313.918,97090.35200000001
