,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 8a: Balance Sheet of Saudi Central Bank - Assets,,,,,,,,جدول 8a: الــمـركـــــز الـمــالــي  للبنك المركزي الســعــودي - الـموجــودات 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,غطاء النقد,,نقد,ودائع لدى,إستثمارات في أوراق,موجودات متنوعة,
,,Cash Cover,,في الصندوق,البنوك بالخارج,مالية في الخارج,أخرى,الإجمالي
,,ذهب,نقد أجنبي ,,Deposits,Investment,Other,
End of Period,,,Foreign,Cash,with Banks,in Foreign,Miscellaneous,TOTAL
,,Gold, Currencies,in Vault,Abroad,Securities,Assets,
2001-08-31T00:00:00,,756,68670,19530,52992,64778,22421.129646770016,229147.12964677002
2001-09-30T00:00:00,,756,68310,19297,51572,65067,25180.67444622997,230182.67444622997
2001-10-31T00:00:00,,756,69070,19635,51858,63075,24507.944917280023,228901.94491728002
2001-11-30T00:00:00,,756,69817,18450,42759,69935,20090.95089891,221807.95089891
2001-12-31T00:00:00,,756,71681,19733,35809,73557,22936.74835234997,224472.74835234997
2002-01-31T00:00:00,,756,71190,19262,28079,72922,20888.965454320016,213097.96545432002
2002-02-28T00:00:00,,756,72387,17416,26158,70327,23302.605090849975,210346.60509084997
2002-03-31T00:00:00,,756,72390.9,20866,21358.4,70205.4,25438.369421680032,211015.06942168
2002-04-30T00:00:00,,756,69487,17653,16934,72352,24007.238630289998,201189.23863029
2002-05-31T00:00:00,,756,69487,17157,15920,72107,25315.629658259975,200742.62965825998
2002-06-30T00:00:00,,756,70881,18693,18577,63419,26457.94454550001,198783.9445455
2002-07-31T00:00:00,,756,70753,18940,20480,58581,25203.251114259998,194713.25111426
2002-08-31T00:00:00,,756,70753,20572,22758,54370,25275.014295,194484.014295
2002-09-30T00:00:00,,756,69529.3,18855,18200,53754,25365.466161610046,186459.76616161002
2002-10-31T00:00:00,,756,69028.8,15695,30895.2,49548,23992.23426406001,189915.23426406
2002-11-30T00:00:00,,756,71192,11694,36272,46902,25843.421164990024,192659.42116499002
2002-12-31T00:00:00,,756,72731,16266,40255,43716,24216.019778780028,197940.01977878003
2003-01-31T00:00:00,,756,72458,14595,44341,43519,23145.314091909968,198814.31409190997
2003-02-28T00:00:00,,756,73122,14862,47169,44421,24084.509849519993,204414.50984952
2003-03-31T00:00:00,,756,80404,21026,57916,37283,25144.898739130003,222529.89873913
2003-04-30T00:00:00,,756,79457,20195,69325,37814,24049.76527436002,231596.76527436002
2003-05-31T00:00:00,,756,76785,17494,51374,61425,27225.04564574,235059.04564574
2003-06-30T00:00:00,,756,80558.5,22175.5,31922,76547,30245.88248284001,242204.88248284
2003-07-31T00:00:00,,756,76681.9,19717.4,28592,89786,28974.226785939973,244507.52678593996
2003-08-31T00:00:00,,756,75226,19864,32312,91588,31133.699278439948,250879.69927843995
2003-09-30T00:00:00,,756,76353,20774,38021,91601,28815.23057794996,256320.23057794996
2003-10-31T00:00:00,,756,75370,18141,37718,99354,28746.060519349965,260085.06051934997
2003-11-30T00:00:00,,756,78433,15368,46181,97744,26230.804945850046,264712.80494585005
2003-12-31T00:00:00,,756,80204,21259,45776,97035,27669.61883603997,272699.61883603997
2004-01-31T00:00:00,,756,79690,13798,52169,96048,27804.765921929968,270265.76592192997
2004-02-29T00:00:00,,756,80378,20213,60610,97616,26676.505388669902,286249.5053886699
2004-03-31T00:00:00,,756,80378,20415,65685,96694,28212.14711681998,292140.14711682
2004-04-30T00:00:00,,756,80326,19849,58088,104713,29183.427743739972,292915.42774374
2004-05-31T00:00:00,,756,76511,16118,69998,110308,29440.229202379996,303131.22920238
2004-06-30T00:00:00,,756,78068,17044,80572,92876,29069.592748439987,298385.59274844
2004-07-31T00:00:00,,756,81503,21674,89148,100244,25592.164456749975,318917.16445675
2004-08-31T00:00:00,,756,77807,19372,97849,106326,27090.245959980122,329200.2459599801
2004-09-30T00:00:00,,756,79334,19960,103068,106983,26647.64597353991,336748.6459735399
2004-10-31T00:00:00,,756,82424,18383,105509,131846,25343.063929810014,364261.06392981
2004-11-30T00:00:00,,756,87896,23347,68050,173493,25373.146029249998,378915.14602925
2004-12-31T00:00:00,,756,82652,18802,48398,197338,26930.73781652999,374876.73781653
2005-01-31T00:00:00,,756,84419,17402,67677,202152,28550.78122410999,400956.78122411
2005-02-28T00:00:00,,756,84589,21788,49260,220959,27007.45244075003,404359.45244075
2005-03-31T00:00:00,,756,81802,18490,48763,232853,25677.339633920055,408341.33963392006
2005-04-30T00:00:00,,756,81416,18133,55684,237078,25959.537690709985,419026.53769071
2005-05-31T00:00:00,,756,82804,17403,89686,237979,25854.87376378005,454482.87376378005
2005-06-30T00:00:00,,756,84721,17933,95179,233915,25491.60365059995,457995.60365059995
2005-07-31T00:00:00,,756,84882,19025,103408,257291,25984.55071643996,491346.55071643996
2005-08-31T00:00:00,,756,81950,16732,110207,268528,31493.175390979974,509666.17539098
2005-09-30T00:00:00,,756,85161,20417,118683,270777,34337.69387208996,530131.69387209
2005-10-31T00:00:00,,756,88617,11561,111504,303033,40304.758039580076,555775.7580395801
2005-11-30T00:00:00,,756,85578,15979,131368,328655,31156.05392208998,593492.05392209
2005-12-31T00:00:00,,756,88995,18262,113954,369973,27464.91597639001,619404.91597639
2006-01-31T00:00:00,,756,88741,19923,101372,405455,27085.814692660002,643332.81469266
2006-02-28T00:00:00,,756,85283,16915,94969,432001,26553.39852516004,656477.39852516
2006-03-31T00:00:00,,756,83588,16566,117084,459123,26412.462052499875,703529.4620524999
2006-04-30T00:00:00,,756,86998,18899,86342,491813,27731.26625704998,712539.26625705
2006-05-31T00:00:00,,756,84718,15724,107906,505165,26727.881307310075,740996.8813073101
