,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 28d: SADAD System Payments Value by Sectors,,,,,,,,,جدول 28d: مبــــالغ مـدفوعات نظام سداد حسب القـطاعـــــات
(Thousand ﷼),,,,,,,,, (ألف ﷼)
الفترة,,المال والتأمين وخدمات الاعمال,خدمات التعــــليم,الخدمات الحكومية,التقنية والاعلام والترفيه,الاتصالات وخدمات المرافق,خدمات النقل,أخرى,المجموع
,,,,,,,,,
Period,,"Financial, Insurance",Education Services,Government,"Technology, Media",Telecom ,Transportation,Other,Total
,,and Business Services ,,Services,and Entertainment,and  Utilities,Services,,
2019-02-28T00:00:00,,2017394.51,117999.175,20416451.242,29340.534,16695981.624,362272.141,11025.079,39650464.305
2019-03-31T00:00:00,,2485963.964,52146.147,24521771.685990002,33309.0063,6875596.94814,461718.56341,12765.961599999999,34443272.27644
2019-04-30T00:00:00,,2364667.8772899997,23574.47415,29068467.628,32387.15497,5590949.58466,465254.79472,10564.456880000002,37555865.97067
2019-05-31T00:00:00,,2509749.63848,44090.72751,33926497.560509995,34797.15119,6125766.243050001,504839.04797,16385.46302,43162125.83173
2019-06-30T00:00:00,,1994693.5087300001,32282.189309999998,19850232.72765,34316.53275,5558143.59301,468720.12295999995,10752.940869999999,27949141.615280002
2019-07-31T00:00:00,,2748006.97675,56342.434030000004,32311330.239669997,14862.58583,8289690.630109999,573060.0746,9427.31026,44002720.25125
2019-08-31T00:00:00,,2430670.03805,109066.08748999999,19261035.112400003,14126.72451,6610107.9399,379624.76311,10237.83451,28814868.499969997
2019-09-30T00:00:00,,3365614.834,160868.819,24528517.589,18701.266,7978690.02,436831.075,15245.552,36504469.155
2019-10-31T00:00:00,,3758641.11,74990.632,25622740.442,19552.183,8339454.725,360524.606,15638.897,38191542.595
2019-11-30T00:00:00,,3286758.647,42624.368630000004,25744188.38725,17124.57644,6481909.38832,318708.62202,40128.49928,35931442.48893999
2019-12-31T00:00:00,,4059795.435,37509.91,26873999.355,23476.812,7815064.072,444988.064,14491.629,39269325.277
2020-01-31T00:00:00,,3478382.49639,174542.73440000002,26287672.862880003,20983.91569,6089667.3368999995,384579.50081,20741.66611,36456570.51318
2020-02-29T00:00:00,,2510775.81227,66493.26839,22282615.380400002,18117.65162,5167693.87171,321453.89709,13578.215689999999,30380728.09717
2020-03-31T00:00:00,,3758141.11181,65349.371490000005,19525225.638669997,32303.11623,7297778.63246,197928.29747999998,59862.82506,30936588.993199997
2020-04-30T00:00:00,,2523700.71077,6458.83177,8150400.7555100005,29928.77386,5560518.9104700005,26528.45971,65175.658189999995,16362712.10028
2020-05-31T00:00:00,,2831102.21351,47883.988,11014624.926,30272.72023,6608380.70711,37120.789,44896.69,20614282.03385
2020-06-30T00:00:00,,3228304.2062199996,43871.395619999996,20225123.284560002,30982.13834,8094186.32587,112317.75081,44069.17215,31778854.273570005
2020-07-31T00:00:00,,3513294.70557,24658.63178,41397817.7403,30082.022969999998,8547247.805470001,151273.90242,16977.43656,53681352.24507
2020-08-31T00:00:00,,3390845.1722199996,134055.5217,31209417.00316,35957.37736,9323222.8725,171366.44016,34325.42682,44299189.813920006
2020-09-30T00:00:00,,3477114.644,97383.34954000001,39390799.616,35483.78,9591911.019,184540.48859,29320.425,52806553.322129995
2020-10-31T00:00:00,,3896741.28135,35156.17388,35444400.11181,34612.92442,9100652.70494,197948.34693,36332.552950000005,48745844.09628
2020-11-30T00:00:00,,3765935.64616,19766.001920000002,37118172.20454,39342.36012,15414687.551059999,217504.94478999998,97838.58154000001,56673247.290130004
2020-12-31T00:00:00,,3912062.6906399997,65805.75733,37425605.41762,39949.77835,16811925.04795,234916.85344,32576.42555,58522841.97088
2021-01-31T00:00:00,,3923837.1856,176199.44369999997,33679869.52983,39083.35643,8111591.78997,240007.82052,77085.19171,46247674.317760006
