,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,
Table 26a: Bank Clearings,,,,,,,جدول 26a:  المقاصة المصرفية
,,,,,,,
,,(شيكات أفراد وشركات ),,,(شيكات بين المصارف ),,
الفترة,, (Commercial and Personal Cheques),,, (Inter Bank Cheques),,
,,عدد الشيكات, القيمة ,متوسط قيمة الشيك,عدد الشيكات, القيمة ,متوسط قيمة الشيك
Period,,No. of Cheques,Total Value,Average Value ,No. of Cheques,Total Value,Average Value 
,,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque
1990,,1888.464,228369,120928.43707902296,---,---,---
2003-05-31T00:00:00,,552.208,26619,48204.66201141599,108.801,13085.258,120267.81003851068
2003-06-30T00:00:00,,575.007,28387,49368.09464928253,105.691,14732.267,139389.98590230008
2003-07-31T00:00:00,,549.408,29323,53371.99312714777,109.135,13518.187,123866.65139506116
2003-08-31T00:00:00,,458.018,21968,47963.18048635643,95.826,8787.411,91701.74065493708
2003-09-30T00:00:00,,517.038,23441,45337.09321171752,96.994,9087.895,93695.43476916099
2003-10-31T00:00:00,,554.307,27494,49600.67255149222,99.22,11644.855,117363.98911509776
2003-11-30T00:00:00,,433.376,23265,53683.17581038175,73.851,8942.779,121092.18561698556
2003-12-31T00:00:00,,627.147,36471,58153.82996331003,102.736,10453.297,101749.1142345429
2004-01-31T00:00:00,,532.351,31048,58322.42261214875,94.728,12085.503,127581.10590321764
2004-02-29T00:00:00,,430.217,22829,53063.91890604044,74.51,9066.987,121688.18950476444
2004-03-31T00:00:00,,610.947,35842,58666.300022751566,109.45,14930.432,136413.2663316583
2004-04-30T00:00:00,,531.957,31130,58519.76757519875,95.825,12140.031,126689.60083485521
2004-05-31T00:00:00,,586.153,31028,52934.984551814974,104.247,13693.427,131355.59776300518
2004-06-30T00:00:00,,563.369,27910,49541.242063372316,98.733,13801.283,139783.8919105061
2004-07-31T00:00:00,,506.783,26195,51688.789876534924,92.563,11652.415,125886.31526635913
2004-08-31T00:00:00,,506.507,27694,54676.44079943614,91.729,8248.655,89924.17883112212
2004-09-30T00:00:00,,440.829,20144,45695.72328499259,73.366,7051.337,96111.78202437097
2004-10-31T00:00:00,,537.835,31993,59484.78622625898,102,13369.137,131069.97058823529
2004-11-30T00:00:00,,450.969,25097,55651.275364825524,77.99,9430.486,120919.16912424672
2004-12-31T00:00:00,,619.746,37470,60460.25307141959,105.04,12774.203,121612.74752475247
2005-01-31T00:00:00,,428.342,22016,51398.181826671214,78.752,9380.485,119114.24471759448
2005-02-28T00:00:00,,523.306,30379,58052.07660527492,93.013,11373.837,122282.22936578757
2005-03-31T00:00:00,,612.604,34702,56646.70815077929,115.012,17393.34,151230.654192606
2005-04-30T00:00:00,,542.736,30480,56159.90094631644,107.211,12558.975,117142.59730811205
2005-05-31T00:00:00,,620,35022,56487.096774193546,109,13456,123449.54128440366
2005-06-30T00:00:00,,552.327,31971,57884.18817113775,95.154,12004.7,126160.74994219898
2005-07-31T00:00:00,,523.349,28950,55316.815356482955,90.514,10695.384,118162.75935214442
2005-08-31T00:00:00,,499.855,27307,54629.842654369764,89.704,10359.387,115484.11442076163
2005-09-30T00:00:00,,499.364,26574,53215.69035813555,89.978,8689.788,96576.80766409569
2005-10-31T00:00:00,,576,30359,52706.59722222222,97.7,11832,121105.42476970317
2005-11-30T00:00:00,,454,25891,57028.63436123348,77,7938,103090.90909090909
2005-12-31T00:00:00,,608,43695,71866.77631578948,95,12183,128242.1052631579
2006-01-31T00:00:00,,479,27315,57025.05219206681,78,10399,133320.5128205128
2006-02-28T00:00:00,,517,31070,60096.71179883946,85,10491,123423.5294117647
2006-03-31T00:00:00,,575,32558,56622.608695652176,92,10519,114336.95652173912
2006-04-30T00:00:00,,547,32988,60307.12979890311,91,11353,124758.24175824175
2006-05-31T00:00:00,,577,33135,57426.3431542461,99.78,13720.66,137509.1200641411
2006-06-30T00:00:00,,530,31724,59856.60377358491,88,12236.9,139055.68181818182
2006-07-31T00:00:00,,506,30367,60013.83399209486,77.19,9536,123539.31856458091
2006-08-31T00:00:00,,497,29800,59959.75855130785,76.99,8128,105572.15222756202
2006-09-30T00:00:00,,456,26773,58712.71929824562,70.77,7402.4,104597.99350007066
2006-10-31T00:00:00,,432,25247,58442.12962962963,63,9657,153285.7142857143
2006-11-30T00:00:00,,563,35753,63504.4404973357,85,9718,114329.41176470589
2006-12-31T00:00:00,,513,39778,77539.96101364522,83,12668,152626.5060240964
2007-01-31T00:00:00,,357,28046,78560.22408963586,55,8391,152563.63636363635
2007-02-28T00:00:00,,493,32036,64981.7444219067,75,9717,129560
2007-03-31T00:00:00,,527,35484,67332.06831119544,85,13376,157364.70588235295
2007-04-30T00:00:00,,545,38742,71086.23853211009,88,15672,178090.9090909091
2007-05-31T00:00:00,,575,37780,65704.34782608696,88,16183,183897.7272727273
2007-06-30T00:00:00,,511,35692,69847.35812133073,79,15083,190924.05063291139
2007-07-31T00:00:00,,556,40371,72609.71223021584,83,15316,184530.12048192773
2007-08-31T00:00:00,,471,32718,69464.96815286625,75,10258,136773.33333333334
2007-09-30T00:00:00,,485,35915,74051.54639175258,72,9951,138208.33333333334
2007-10-31T00:00:00,,453,32287,71273.73068432671,69,10100,146376.8115942029
2007-11-30T00:00:00,,547.6,39912,72885.31775018261,87,14380,165287.35632183906
2007-12-31T00:00:00,,618,52575,85072.81553398058,83,16261,195915.6626506024
2008-01-31T00:00:00,,585,49523,84654.70085470084,94,20460,217659.5744680851
2008-02-29T00:00:00,,500,39029,78058,78,17957,230217.94871794872
2008-03-31T00:00:00,,580,44750,77155.17241379312,90,20391,226566.66666666666
2008-04-30T00:00:00,,549,44691,81404.37158469945,88,21245,241420.45454545453
2008-05-31T00:00:00,,546,44047,80672.16117216117,90,20617,229077.77777777778
2008-06-30T00:00:00,,586,47066,80317.4061433447,86,18751,218034.88372093023
2008-07-31T00:00:00,,579,49046,84708.11744386874,88,17315,196761.36363636362
2008-08-31T00:00:00,,473,38875,82188.16067653277,74,9553,129094.59459459459
2008-09-30T00:00:00,,452,41027,90767.69911504425,65,11689,179830.76923076922
2008-10-31T00:00:00,,480,35179,73289.58333333334,73,9732,133315.06849315067
2008-11-30T00:00:00,,540,45204,83711.11111111111,79,10299,130367.08860759492
2008-12-31T00:00:00,,482,47660,98879.66804979253,72,9223,128097.22222222223
2009-01-31T00:00:00,,528,38886,73647.72727272726,75,9503,126706.66666666666
2009-02-28T00:00:00,,476,37332,78428.57142857143,66,8344,126424.24242424242
2009-03-31T00:00:00,,579,44678,77164.07599309154,79,10705,135506.32911392403
2009-04-30T00:00:00,,544,43093,79215.07352941176,84,13076,155666.66666666666
2009-05-31T00:00:00,,532,40637,76385.33834586467,84,13285,158154.7619047619
2009-06-30T00:00:00,,556,42067,75660.07194244604,82,12884,157121.9512195122
2009-07-31T00:00:00,,541,45105,83373.38262476896,85,13717,161376.4705882353
2009-08-31T00:00:00,,473,39223,82923.89006342494,69,9120,132173.91304347824
2009-09-30T00:00:00,,380,34695.5,91303.94736842105,58.9,8796,149337.86078098472
2009-10-31T00:00:00,,527,40584.3,77010.0569259962,78.8,12268,155685.27918781727
2009-11-30T00:00:00,,487.8,43700.61,89587.14637146372,75.2,13516,179734.04255319148
2009-12-31T00:00:00,,574,64475,112325.78397212544,82,15777,192402.43902439025
2010-01-31T00:00:00,,521.458,41650,79872.20447284346,84,16214,193023.80952380953
2010-02-28T00:00:00,,479,38875,81158.66388308977,71,15422,217211.2676056338
2010-03-31T00:00:00,,572,46760,81748.25174825174,87,16508,189747.1264367816
2010-04-30T00:00:00,,514,45693,88896.88715953309,72,17846,247861.11111111112
2010-05-31T00:00:00,,540,44569,82535.18518518518,73,14919,204369.86301369863
2010-06-30T00:00:00,,548,46932,85642.33576642336,77,16336,212155.84415584416
2010-07-31T00:00:00,,513,43612,85013.64522417155,77,14272,185350.64935064936
2010-08-31T00:00:00,,504,45368,90015.87301587302,99,12941,130717.1717171717
2010-09-30T00:00:00,,373,31572,84643.43163538874,53,8723,164584.90566037735
2010-10-31T00:00:00,,545,46733,85748.62385321101,75,15349,204653.33333333334
2010-11-30T00:00:00,,432.476,43272,100056.41931575394,64,14645,228828.125
2010-12-31T00:00:00,,615,68107,110743.08943089431,85,17847,209964.70588235295
2011-01-31T00:00:00,,533,47728,89545.96622889307,72,17455,242430.55555555553
2011-02-28T00:00:00,,477,40037,83935.01048218028,62,13231,213403.2258064516
2011-03-31T00:00:00,,574,51594,89885.01742160278,76,15805,207960.52631578947
2011-04-30T00:00:00,,501,50330,100459.08183632734,70,19481,278300
2011-05-31T00:00:00,,581,51393,88456.11015490533,77,19850,257792.20779220783
2011-06-30T00:00:00,,574,49228,85763.0662020906,83,23171,279168.6746987952
2011-07-31T00:00:00,,501,46142,92099.8003992016,77,15090,195974.02597402598
2011-08-31T00:00:00,,396,36755,92815.65656565657,62,12609,203370.96774193548
2011-09-30T00:00:00,,514,44634,86836.57587548638,73,17930,245616.4383561644
2011-10-31T00:00:00,,586,55231,94250.85324232081,91,23151,254406.5934065934
2011-11-30T00:00:00,,439,40956,93293.84965831436,65,13749,211523.07692307694
2011-12-31T00:00:00,,589.571,66295,112446.16848522061,85,20400,240000
2012-01-31T00:00:00,,567,54300,95767.19576719578,86,20688,240558.1395348837
2012-02-29T00:00:00,,536,50550,94309.70149253731,82,18131,221109.75609756098
2012-03-31T00:00:00,,538,51441,95615.24163568774,78,18140,232564.10256410256
2012-04-30T00:00:00,,557,53578,96190.30520646319,83,19415,233915.6626506024
2012-05-31T00:00:00,,597.576,57613,96411.1677845161,89,19171,215404.49438202247
2012-06-30T00:00:00,,520,51096,98261.53846153847,81,17297,213543.2098765432
2012-07-31T00:00:00,,544,55218,101503.67647058824,86,15244,177255.81395348837
2012-08-31T00:00:00,,394,37622,95487.30964467005,58,10975,189224.13793103446
2012-09-30T00:00:00,,523,45396,86799.23518164437,73,14233,194972.60273972602
2012-10-31T00:00:00,,507,51019,100629.191321499,73,16417,224890.4109589041
2012-11-30T00:00:00,,524,51370,98034.35114503818,71,17600,247887.323943662
2012-12-31T00:00:00,,613,69026,112603.58890701468,86,22074,256674.41860465117
2013-01-31T00:00:00,,572.477,63582,111064.72399764533,83,23004,277156.6265060241
2013-02-28T00:00:00,,514,51562,100315.17509727627,75,21547,287293.3333333334
2013-03-31T00:00:00,,545.476,53429,97949.31399364959,77,22656,294233.7662337662
2013-04-30T00:00:00,,558,57255,102607.52688172043,80,27084,338550
2013-05-31T00:00:00,,572,58756,102720.27972027972,77,22447,291519.48051948054
2013-06-30T00:00:00,,512,48967,95638.671875,66,18349,278015.1515151515
2013-07-31T00:00:00,,560,52829,94337.5,70,17718,253114.28571428574
2013-08-31T00:00:00,,360,34454,95705.55555555555,44,9635,218977.2727272727
2013-09-30T00:00:00,,535,50044,93540.18691588784,65,15663,240969.23076923075
2013-10-31T00:00:00,,454,47443,104500,61,18856,309114.75409836066
2013-11-30T00:00:00,,494,49351,99900.80971659918,65,18719,287984.6153846154
2013-12-31T00:00:00,,604,68117,112776.49006622516,81,27418,338493.8271604938
2014-01-31T00:00:00,,508,58662,115476.37795275591,71,21224,298929.57746478874
2014-02-28T00:00:00,,481,46339,96338.87733887734,66,19897,301469.696969697
2014-03-31T00:00:00,,541,56820,105027.72643253235,71,20119,283366.1971830986
