,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 3: Money Supply,,,,,,,,جدول 3: عــــــرض الـنـقـــــــود 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,النقد المتداول,الودائع,عرض النقود,الودائع الزمنية,عرض النقود,الودائع الأخرى,عرض النقود
,,خارج المصارف, تحت الطلب,  ن 1     ,والإدخارية,  ن 2     ,*شبه النقدية,  ن 3     
,,Currency,Demand ,Money Supply,Time & Savings,Money Supply,Other Quasi-,Money Supply
End of Period,,Outside Banks,Deposits,M1,Deposits,M2,Money Deposits*,M3
,,1,2, 3=1+2,4,5 = 3 + 4,6,7 = 5 + 6
Q3,2015,175145.86631435,1067325.841,1242471.70731435,411847.514,1654319.22131435,184640.235,1838959.45631435
Q4,2015,168491.79047888,980150.664,1148642.45447888,439377.329,1588019.7834788798,197562.28,1785582.0634788799
Q1,2016,169233.5330036,987565.3114968915,1156798.8445004916,417112.29807053995,1573911.1425710316,214863.80258364847,1788774.94515468
Q2,2016,181801.6594786,966195.30671965,1147996.96619825,447275.95405599,1595272.9202542398,188327.26500026,1783600.1852544998
Q3,2016,173468.07739563,944400.9614300099,1117869.03882564,479046.78448179003,1596915.82330743,169274.25446099002,1766190.0777684199
Q4,2016,170323.06883444,976086.1988083251,1146409.267642765,496019.30788064003,1642428.575523405,157279.10857184482,1799707.68409525
Q1,2017,169762.96960108,997825.09320282,1167588.0628039,471336.48886084,1638924.55166474,153148.74597289003,1792073.29763763
Q2,2017,184276.19897168,984532.92889011,1168809.12786179,483886.80421785,1652695.9320796398,180169.62733054,1832865.5594101797
Q3,2017,170609.52780694998,980252.43381406,1150861.96162101,476453.25227533,1627315.21389634,159111.53071898996,1786426.74461533
Q4,2017,172046.35069519997,1002467.74800831,1174514.09870351,454152.05919544,1628666.15789895,176505.21473533998,1805171.3726342898
Q1,2018,180821.62861363002,1013261.3495815,1194082.9781951301,436709.84541953,1630792.8236146602,164425.44385337998,1795218.26746804
Q2,2018,189861.89484327,1022132.06542417,1211993.96026744,425210.41386247,1637204.37412991,179004.59755711,1816208.97168702
Q3,2018,178997.72355044002,1025100.0731598999,1204097.7967103398,430433.19454255997,1634530.9912528999,203390.19857157,1837921.1898244699
Q4,2018,180132.44599683,1040664.95184748,1220797.39784431,443022.41314937995,1663819.8109936898,189825.56086021,1853645.3718539
Q1,2019,184719.10812617,1036501.2483910801,1221220.3565172502,429884.96568287,1651105.3222001202,177977.22323654,1829082.5454366603
Q2,2019,190809.98193501,1072291.61913889,1263101.6010739,437183.01986937,1700284.62094327,181977.27553714,1882261.89648041
Q3,2019,188213.70171782997,1092951.86713498,1281165.56885281,430363.15651332,1711528.72536613,175922.18560986998,1887450.910976
Q4,2019,189160.26772414,1099151.08319698,1288311.35092112,501666.91848965,1789978.26941077,195161.18214797,1985139.4515587399
Q1,2020,198554.91404857003,1166538.77243888,1365093.68648745,460293.54549686005,1825387.23198431,183655.8062734,2009043.0382577102
Q2,2020,208584.81825026002,1216640.16642162,1425224.98467188,443490.72008286,1868715.70475474,182847.415291057,2051563.120045797
Q3,2020,206931.15328828,1224902.9207132,1431834.07400148,451017.563866,1882851.6378674798,205161.50532718,2088013.1431946598
Q4,2020,206283.560385,1282591.31982632,1488874.88021132,473966.98055585,1962841.86076717,186425.206063303,2149267.066830473
Q1,2021,206970.44325522002,1312682.91343529,1519653.3566905102,452707.93266362,1972361.2893541302,214944.132399389,2187305.421753519
Q2,2021,208648.15258485003,1333341.1880258,1541989.3406106501,445194.6082454,1987183.9488560501,251602.71697005,2238786.6658261
Q3,2021,204414.59086529,1326095.7618947101,1530510.3527600002,460053.29396313,1990563.6467231303,271834.883925784,2262398.530648914
Q4,2021,204366.04192211002,1360108.1662613498,1564474.20818346,495334.36669822,2059808.5748816798,249011.38056003003,2308819.95544171
Q1,2022,205371.37972904003,1378815.94574521,1584187.32547425,504395.86775445996,2088583.19322871,283407.56155938,2371990.75478809
Q2,2022,206421.14705046,1391059.85438538,1597481.00143584,542992.1070955,2140473.10853134,298517.40540665993,2438990.513938
Q3,2022,199405.75887122002,1397299.60466521,1596705.36353643,543224.0463802901,2139929.4099167204,325863.30385466,2465792.7137713805
Q4,2022,199965.70505283002,1328160.3574,1528126.0624528301,654764.2713499999,2182890.33380283,312481.6821240001,2495372.01592683
Q1,2023,207552.70111986,1354392.42436272,1561945.12548258,698435.74630982,2260380.8717924,347938.6009551401,2608319.47274754
Q2,2023,220840.75538973,1326157.72669341,1546998.48208314,770288.30367298,2317286.78575612,343268.97596876,2660555.76172488
Q3,2023,207977.63003381,1330393.8248633503,1538371.4548971602,811312.2605903001,2349683.71548746,313642.10951160005,2663325.82499906
Q4,2023,211884.8803785,1312330.2918346801,1524215.1722131802,864069.4239041801,2388284.5961173605,297058.62959233,2685343.2257096907
Q1,2024,227490.77005046,1407114.40684256,1634605.17689302,843248.14454708,2477853.3214401,345892.15957122995,2823745.48101133
