السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,بني مالك,فيلا,1,915000,470,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الشرائع,فيلا,33,30112724,9952.2,2927.45265654722,3487.63,2423.95
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الصوارى,فيلا,25,46046448.84,10975.79,4492.05703179917,6200,3636.36
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,بلدة ذهبان,قطعة أرض- زراعي,2,8500000,79836.93,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفيحاء,فيلا,1,1600000,419.42,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,النزهة,فيلا,3,2539475.72,935.99,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,طيبة,فيلا,35,51127533.95,14167.45,3574.45439550875,4800,2769.32
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,العزيزية,فيلا,1,295000,139.9,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,المسفلة,فيلا,7,3137180,1141.76,2864.68149264983,3712.36,2341.7
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,التنعيم,فيلا,7,6401400,1396.11,4468.93915259637,4728.27,4273
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الخالدية,فيلا,1,1270000,400,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,مدائن الفهد,فيلا,2,1453856.31,570.8,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الخضراء,فيلا,2,1700000,558.91,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الرصيفة,فيلا,1,100000,253.21,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الراشدية,فيلا,15,16304448.01,5890.93,2646.50569997169,3261.3,2186.68
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,العوالي,فيلا,9,15420000,4172.93,3828.77228219935,4382.67,3379.31
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الجامعه,فيلا,3,7844392,1351.4,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الورود,فيلا,4,6338000,1703.9,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,العمرة,فيلا,19,22376961.68,7992.33,2786.87015169302,3234.15,2267.57
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الملك فهد,فيلا,38,47324494.9,17293.98,2969.68682320757,3333.33,2500
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,وادي جليل,فيلا,5,1210000,1020.87,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,العسيلة,فيلا,1,350000,261.89,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,المعابده,فيلا,4,1285624,222.2,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,النوارية,فيلا,4,3450000,1293.23,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,جبل النور,فيلا,2,1700000,606.32,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الهجلة الجديد,فيلا,1,1150000,328.19,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,بطحاء قريش  ,فيلا,29,66900450,14647.83,3817.27458511256,4666.67,1798.51
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الياقوت,فيلا,78,124403407.53,25948.86,5100.00220220842,6080.38,4000
